blockNum,uniqueId,hash,from_address,to,value,asset,category
0x2f1f65e,0x7a7ea0345eae4467ac54f588cb5ced8a6de258fad1dd5f1f95d576bdf8e2bae6:log:131,0x7a7ea0345eae4467ac54f588cb5ced8a6de258fad1dd5f1f95d576bdf8e2bae6,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,0.00000626,WBTC,erc20
0x2f1f6be,0x7bf9877cb4cd346999303a60d277a0eccced8ac1194bcf0e66fa5d0b84387f17:log:719,0x7bf9877cb4cd346999303a60d277a0eccced8ac1194bcf0e66fa5d0b84387f17,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,9.3E-7,WBTC,erc20
0x2f1f6d8,0x2ee5500f89ba0ccd60d60e706417ddf41d84724f4d0020921fd3c7f67f8ca5e4:log:269,0x2ee5500f89ba0ccd60d60e706417ddf41d84724f4d0020921fd3c7f67f8ca5e4,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,2.3E-7,WBTC,erc20
