blockNum,uniqueId,hash,from_address,to,value,asset,category
0x2f1d350,0x0fdf12e4243f471b99c2ad001a58ebd4d75750bfc614f3b214a301ec346f965d:log:237,0x0fdf12e4243f471b99c2ad001a58ebd4d75750bfc614f3b214a301ec346f965d,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,3.896672,XSGD,erc20
0x2f204d7,0xad569954cb53604564eab96f810422cd5a12ae06276ed453e9b0f0ff9891acea:log:198,0xad569954cb53604564eab96f810422cd5a12ae06276ed453e9b0f0ff9891acea,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,2.187662,USDT,erc20
0x2f20c25,0xb6640ef97ca5dca34dd98dd2bb035cace93df0b6172195e2522d51785a50205a:log:872,0xb6640ef97ca5dca34dd98dd2bb035cace93df0b6172195e2522d51785a50205a,0x643770e279d5d0733f21d6dc03a8efbabf3255b4,0x6bc825a870804cbcb3327fd1bae051259ae4e98e,3.503073,USDT,erc20
